"actual","forcast","difference"
"1",-3568,1300,-4868
"2",1177,-800,1977
"3",961,1000,-39
"4",252,2000,-1748
"5",4224,1300,2924
"6",2847,2500,347
"7",3376,3750,-374
"8",8028,3750,4278
"9",7562,2577,4985
"10",3073,2250,823
"11",3955,0,3955
"12",-1925,-1250,-675
"13",-2104,2000,-4104
"14",2570,900,1670
"15",4667,900,3767
"16",-5452,1450,-6902
"17",2620,-820,3440
"18",-1682,-2000,318
"19",-4407,-1630,-2777
"20",-4203,850,-5053
"21",2468,-2200,4668
"22",-4346,-1900,-2446
"23",384,0,384
"24",2386,-2500,4886
"25",-4934,-2000,-2934
"26",-2676,-1800,-876
"27",-6812,-1500,-5312
"28",-1948,-2500,552
"29",-2802,-2000,-802
"30",-2674,-1750,-924
"31",-2191,-250,-1941
"32",-3882,1500,-5382
"33",1910,3300,-1390
"34",5315,3200,2115
"35",1294,3600,-2306
"36",10949,3250,7699
"37",4766,4200,566
"38",8170,4750,3420
"39",9622,4400,5222
"40",4512,4750,-238
"41",10303,3950,6353
"42",8427,4000,4427
"43",7716,3000,4716
"44",4868,3750,1118
"45",6333,3250,3083
"46",8874,3850,5024
"47",10071,2700,7371
"48",5389,1750,3639
"49",-3062,700,-3762
"50",-1754,900,-2654
"51",7267,-2500,9767
"52",-847,-2250,1403
"53",1454,-2700,4154
"54",-3689,1750,-5439
"55",1946,250,1696
"56",2608,-1500,4108
"57",-1735,1050,-2785
"58",460,2350,-1890
"59",2061,3650,-1589
"60",7111,3000,4111
"61",8923,2450,6473
"62",5015,2000,3015
"63",-1363,1500,-2863
"64",-4273,750,-5023
"65",3673,-1500,5173
"66",-972,-1500,528
"67",-905,-1000,95
"68",-2070,-2500,430
"69",-4474,-1750,-2724
"70",1401,-2050,3451
"71",-1756,-1550,-206
"72",-3697,-1250,-2447
"73",-3969,-2900,-1069
"74",-7525,-2750,-4775
"75",-2370,-2500,130
"76",-3155,-2400,-755
"77",1742,-1700,3442
"78",-579,-750,171
"79",-2596,-2000,-596
"80",-3431,-250,-3181
"81",1657,500,1157
"82",-7226,0,-7226
"83",947,0,947
"84",-1781,1250,-3031
"85",1698,2200,-502
"86",3524,3000,524
"87",10013,1750,8263
"88",4030,750,3280
"89",-2379,2500,-4879
"90",6619,2500,4119
"91",5850,2750,3100
"92",6180,2000,4180
"93",1429,1300,129
"94",68,1275,-1207
"95",973,2250,-1277
"96",3267,2600,667
"97",440,2550,-2110
"98",6421,2250,4171
"99",990,1150,-160
"100",-7658,-1300,-6358
"101",-2675,-2750,75
"102",-7007,-2825,-4182
"103",-4731,-2650,-2081
"104",-2941,-3500,559
"105",-10585,-3000,-7585
"106",-5585,-500,-5085
"107",2953,750,2203
"108",375,1000,-625
"109",2640,800,1840
"110",1577,2100,-523
"111",4087,2400,1687
"112",5246,3000,2246
"113",5246,3000,2246
"114",6807,1550,5257
"115",5472,2500,2972
"116",2635,-1000,3635
"117",-4368,-1200,-3168
"118",-219,-2100,1881
"119",-1836,-2000,164
"120",2986,750,2236
"121",-1428,-1500,72
"122",-2812,-1500,-1312
"123",-1320,-1500,180
"124",431,-2450,2881
"125",-2825,-2800,-25
"126",-6902,-2000,-4902
"127",-9874,-3200,-6674
"128",-10347,-2250,-8097
"129",18,-1750,1768
"130",313,-500,813
"131",2523,-1500,4023
"132",-6267,-800,-5467
"133",3000,-500,3500
"134",-338,-1000,662
"135",-624,450,-1074
"136",230,2000,-1770
"137",6696,1100,5596
"138",947,2000,-1053
"139",-1233,1200,-2433
"140",250,1500,-1250
"141",2707,2050,657
"142",3256,1325,1931
"143",-1314,2000,-3314
"144",2624,2300,324
"145",3833,788,3045
"146",1130,2500,-1370
"147",4143,2000,2143
"148",560,2200,-1640
"149",2623,2650,-27
"150",5947,2500,3447
"151",2813,2150,663
"152",-951,2200,-3151
"153",1314,2000,-686
"154",-11120,-1000,-10120
"155",-586,-1750,1164
"156",-964,-1750,786
"157",843,-2500,3343
"158",-2357,-500,-1857
"159",-347,350,-697
"160",-1466,1000,-2466
"161",1089,2650,-1561
"162",1766,2000,-234
"163",-2045,1800,-3845
"164",5896,1800,4096
"165",2860,1500,1360
"166",1672,1500,172
"167",-482,1500,-1982
"168",-2446,1900,-4346
"169",8534,1000,7534
"170",1994,-2900,4894
"171",-7426,-4950,-2476
"172",3778,-1750,5528
"173",-5412,-250,-5162
"174",-3699,-1500,-2199
"175",-3729,-1550,-2179
"176",-6522,-1000,-5522
"177",2717,-1000,3717
"178",-809,-1300,491
"179",-4696,-1375,-3321
"180",-4270,-2300,-1970
"181",-133,-1300,1167
"182",2861,-1300,4161
"183",-191,-1500,1309
"184",-111,-500,389
"185",2213,1000,1213
"186",883,1650,-767
"187",2128,1750,378
"188",3652,2000,1652
"189",2840,2500,340
"190",3978,2800,1178
"191",3856,1800,2056
"192",2791,2000,791
"193",9009,2500,6509
"194",7102,2550,4552
"195",-1162,2200,-3362
"196",1750,1600,150
"197",832,1500,-668
"198",4160,1100,3060
"199",1633,1350,283
"200",-171,1500,-1671
"201",304,2500,-2196
"202",4175,2600,1575
"203",3558,1450,2108
"204",-3438,3000,-6438
"205",4958,1000,3958
"206",2209,-1000,3209
"207",3899,-2500,6399
