"actual","forcast","difference"
"1",786,1750,-964
"2",135,1550,-1415
"3",2478,950,1528
"4",1009,-500,1509
"5",-2102,-1000,-1102
"6",-3300,-1250,-2050
"7",-1137,-1050,-87
"8",-1518,-1000,-518
"9",-2618,-1250,-1368
"10",1910,250,1660
"11",3254,-500,3754
"12",1369,850,519
"13",2840,-500,3340
"14",384,-150,534
"15",-271,-2000,1729
"16",1660,-950,2610
"17",-2708,-1250,-1458
"18",-1251,-675,-576
"19",811,-200,1011
"20",-363,250,-613
"21",-1725,300,-2025
"22",58,450,-392
"23",1215,0,1215
"24",-1757,-250,-1507
"25",680,0,680
"26",460,-800,1260
"27",-2939,-400,-2539
"28",-334,500,-834
"29",-3309,-1300,-2009
"30",-2774,650,-3424
"31",-1142,250,-1392
"32",401,1000,-599
"33",1713,900,813
"34",-2135,-1000,-1135
"35",-2072,-750,-1322
"36",817,-2000,2817
"37",-4258,-650,-3608
"38",-2014,-2300,286
"39",-4473,-900,-3573
"40",-187,-1750,1563
"41",46,-2000,2046
"42",-3118,-2000,-1118
"43",485,-650,1135
"44",1977,200,1777
"45",2335,-1150,3485
"46",-2587,500,-3087
"47",588,1500,-912
"48",3171,3750,-579
"49",8115,4500,3615
"50",2951,2000,951
"51",4083,1000,3083
"52",5250,1750,3500
"53",8197,2550,5647
"54",2143,1500,643
"55",1825,1500,325
"56",1034,900,134
"57",1805,200,1605
"58",-1378,-600,-778
"59",-1236,-900,-336
"60",-1299,-1450,151
"61",-3995,-1700,-2295
"62",1180,-500,1680
"63",-1836,-600,-1236
"64",-414,0,-414
"65",-1635,-125,-1510
"66",2381,0,2381
"67",-2322,-1400,-922
"68",-960,-1600,640
"69",585,-1550,2135
"70",-1160,-1500,340
"71",-4387,0,-4387
"72",365,1000,-635
"73",3379,1000,2379
"74",171,950,-779
"75",579,-400,979
"76",-1235,550,-1785
"77",710,1450,-740
"78",785,-550,1335
"79",1697,1000,697
"80",210,400,-190
"81",-1803,0,-1803
"82",970,0,970
"83",-772,300,-1072
"84",1608,500,1108
"85",1564,-900,2464
"86",-274,-1650,1376
"87",-154,-1750,1596
"88",-5188,-1000,-4188
"89",-1574,-2000,426
"90",-5101,-1500,-3601
"91",-1467,-1550,83
"92",-5230,-2000,-3230
"93",-1604,-1000,-604
"94",-2807,-1000,-1807
"95",309,-850,1159
"96",-1853,100,-1953
"97",505,1150,-645
"98",-819,1600,-2419
"99",2123,1750,373
"100",6183,2500,3683
"101",6243,2500,3743
"102",844,1375,-531
"103",-614,1100,-1714
"104",1337,1500,-163
"105",6717,2000,4717
"106",1828,1250,578
"107",1751,500,1251
"108",-345,-300,-45
"109",-838,-900,62
"110",-3755,-400,-3355
"111",-1713,-200,-1513
"112",-1805,-1000,-805
"113",-1805,-1000,-805
"114",149,1050,-901
"115",3495,-700,4195
"116",217,-750,967
"117",-1627,500,-2127
"118",1658,-1000,2658
"119",-1827,-700,-1127
"120",-587,-1375,788
"121",-4029,-1500,-2529
"122",-1169,-1600,431
"123",135,-500,635
"124",770,-1500,2270
"125",-1389,1650,-3039
"126",3055,-1500,4555
"127",-2634,1000,-3634
"128",-1719,700,-2419
"129",3653,875,2778
"130",183,750,-567
"131",2748,500,2248
"132",-366,1000,-1366
"133",-1514,-500,-1014
"134",3015,-300,3315
"135",2588,-1100,3688
"136",-910,-475,-435
"137",-1818,-900,-918
"138",-3928,-600,-3328
"139",-633,-800,167
"140",1699,-1500,3199
"141",-572,-1000,428
"142",-1596,-1000,-596
"143",-1476,-2000,524
"144",-3571,-1200,-2371
"145",-616,-1000,384
"146",-1857,-1000,-857
"147",-2884,-900,-1984
"148",-803,500,-1303
"149",1738,900,838
"150",-956,1000,-1956
"151",-1738,1250,-2988
"152",1910,2700,-790
"153",7412,2500,4912
"154",2569,2200,369
"155",3782,850,2932
"156",2207,2000,207
"157",5000,2000,3000
"158",7860,1550,6310
"159",3865,900,2965
"160",-1547,1000,-2547
"161",-440,-1000,560
"162",2875,-1500,4375
"163",935,850,85
"164",1439,500,939
"165",1720,500,1220
"166",-534,250,-784
"167",114,-500,614
"168",-481,500,-981
"169",-1407,1000,-2407
"170",-1177,-1700,523
"171",-2334,-3000,666
"172",-1509,-1450,-59
"173",-962,-1350,388
"174",-2371,-2000,-371
"175",-1801,-1750,-51
"176",-2174,800,-2974
"177",4134,-1000,5134
"178",-1815,1200,-3015
"179",2752,500,2252
"180",151,1000,-849
"181",2078,1000,1078
"182",943,1000,-57
"183",-1724,1400,-3124
"184",3346,950,2396
"185",-833,-1000,167
"186",-3299,-650,-2649
"187",-2797,-100,-2697
"188",-2613,-750,-1863
"189",-2009,-1500,-509
"190",-2235,-1500,-735
"191",-3671,-1100,-2571
"192",-4277,-1375,-2902
"193",-1457,-1400,-57
"194",-3537,-1550,-1987
"195",-1214,-2000,786
"196",-1410,-1000,-410
"197",-396,-1600,1204
"198",-1600,-425,-1175
"199",-649,250,-899
"200",400,700,-300
"201",1629,875,754
"202",3017,500,2517
"203",-390,2000,-2390
"204",3717,2350,1367
"205",3610,2550,1060
"206",2479,1000,1479
"207",-692,-500,-192
