"actual","forcast","difference"
"1",-1.4,0.5,-1.9
"2",2.5,0.5,2
"3",1.7,0.4,1.3
"4",0.8,0.5,0.3
"5",0.8,0.5,0.3
"6",1.1,0.3,0.8
"7",1.2,0,1.2
"8",0.4,-0.5,0.9
"9",-1.5,-0.58,-0.92
"10",-2.3,-0.5,-1.8
"11",-1.1,-0.45,-0.65
"12",-2.2,-0.5,-1.7
"13",2.2,-0.55,2.75
"14",-1.9,-0.5,-1.4
"15",-1.7,-0.5,-1.2
"16",-0.6,-0.5,-0.1
"17",-1,-0.5,-0.5
"18",0,-0.5,0.5
"19",1,-0.1,1.1
"20",-0.4,-0.1,-0.3
"21",0.2,0,0.2
"22",0.6,0.1,0.5
"23",-0.3,0.2,-0.5
"24",1,0.38,0.62
"25",0.9,0.45,0.45
"26",-1.5,0.5,-2
"27",1.4,0.1,1.3
"28",-0.4,0.6,-1
"29",1.2,0.3,0.9
"30",92.4,0.3,92.1
"31",-1.8,0.5,-2.3
"32",1.7,0.5,1.2
"33",0.1,0.65,-0.55
"34",-1.1,0.5,-1.6
"35",2.2,0.5,1.7
"36",0.7,0.4,0.3
"37",0.4,0.6,-0.2
"38",0.9,0.5,0.4
"39",0.3,0.4,-0.1
"40",1.2,-0.5,1.7
"41",-0.8,-0.5,-0.3
"42",-1.3,-0.35,-0.95
"43",-1.3,-1,-0.3
"44",0.1,0,0.1
"45",1.9,-0.5,2.4
"46",2.5,0.2,2.3
"47",-5.5,-0.65,-4.85
"48",-2.9,-0.25,-2.65
"49",-0.5,0,-0.5
"50",0.9,0,0.9
"51",0,0,0
"52",-1.9,-0.13,-1.77
"53",2,0.3,1.7
"54",1.9,0.5,1.4
"55",0.3,0.15,0.15
"56",1.1,0.5,0.6
"57",1.7,1,0.7
"58",1.8,0.3,1.5
"59",-0.1,0.25,-0.35
"60",-1.4,0.03,-1.43
"61",-1.2,-0.75,-0.45
"62",-0.5,-0.8,0.3
"63",-3.6,-0.55,-3.05
"64",0.4,-0.5,0.9
"65",-0.9,-0.65,-0.25
"66",0.6,-0.25,0.85
"67",-0.2,-0.4,0.2
"68",0.1,-0.35,0.45
"69",1.8,-0.4,2.2
"70",-0.8,-0.5,-0.3
"71",-1.1,-0.6,-0.5
"72",-0.3,-0.2,-0.1
"73",0,0.05,-0.05
"74",2.2,0,2.2
"75",0.2,0.15,0.05
"76",2.9,0.5,2.4
"77",1.4,0.5,0.9
"78",-0.8,0.7,-1.5
"79",-2.9,0.25,-3.15
"80",0.9,0.5,0.4
"81",1.2,0.5,0.7
"82",-0.1,0.45,-0.55
"83",-1.4,0.5,-1.9
"84",-0.8,0.5,-1.3
"85",0,0.5,-0.5
"86",2.2,0.2,2
"87",1.3,0,1.3
"88",-0.2,0.2,-0.4
"89",1.7,0.35,1.35
"90",0.4,0.55,-0.15
"91",-0.4,-0.5,0.1
"92",-1.4,0,-1.4
"93",-0.6,-0.3,-0.3
"94",1.2,0,1.2
"95",-0.3,-0.5,0.2
"96",1,-0.5,1.5
"97",-2.1,-0.1,-2
"98",1.7,0.85,0.85
