"","date","which.news","actual","forcast","difference"
"1","2016-01-13-10-30","US DOE Crude Oil Inventories",234,"2000",-1766
"2","2016-01-06-10-30","US DOE Crude Oil Inventories",-5085,"500",-5585
"3","2015-12-30-10-30","US DOE Crude Oil Inventories",2629,"-2500",5129
"4","2015-12-23-10-30","US DOE Crude Oil Inventories",-5877,"1200",-7077
"5","2015-12-16-10-30","US DOE Crude Oil Inventories",4801,"-1500",6301
"6","2015-12-09-10-30","US DOE Crude Oil Inventories",-3568,"1300",-4868
"7","2015-12-02-10-30","US DOE Crude Oil Inventories",1177,"-800",1977
"8","2015-11-25-10-30","US DOE Crude Oil Inventories",961,"1000",-39
"9","2015-11-18-10-30","US DOE Crude Oil Inventories",252,"2000",-1748
"10","2015-11-12-11-00","US DOE Crude Oil Inventories",4224,"1300",2924
"11","2015-11-04-10-30","US DOE Crude Oil Inventories",2847,"2500",347
"12","2015-10-28-10-30","US DOE Crude Oil Inventories",3376,"3750",-374
"13","2015-10-21-10-30","US DOE Crude Oil Inventories",8028,"3750",4278
"14","2015-10-15-11-00","US DOE Crude Oil Inventories",7562,"2577",4985
"15","2015-10-07-10-30","US DOE Crude Oil Inventories",3073,"2250",823
"16","2015-09-30-10-30","US DOE Crude Oil Inventories",3955,"0",3955
"17","2015-09-23-10-30","US DOE Crude Oil Inventories",-1925,"-1250",-675
"18","2015-09-16-10-30","US DOE Crude Oil Inventories",-2104,"2000",-4104
"19","2015-09-10-11-00","US DOE Crude Oil Inventories",2570,"900",1670
"20","2015-09-02-10-30","US DOE Crude Oil Inventories",4667,"900",3767
"21","2015-08-26-10-30","US DOE Crude Oil Inventories",-5452,"1450",-6902
"22","2015-08-19-10-30","US DOE Crude Oil Inventories",2620,"-820",3440
"23","2015-08-12-10-30","US DOE Crude Oil Inventories",-1682,"-2000",318
"24","2015-08-05-10-30","US DOE Crude Oil Inventories",-4407,"-1630",-2777
"25","2015-07-29-10-30","US DOE Crude Oil Inventories",-4203,"850",-5053
"26","2015-07-22-10-30","US DOE Crude Oil Inventories",2468,"-2200",4668
"27","2015-07-15-10-30","US DOE Crude Oil Inventories",-4346,"-1900",-2446
"28","2015-07-08-10-30","US DOE Crude Oil Inventories",384,"0",384
"29","2015-07-01-10-30","US DOE Crude Oil Inventories",2386,"-2500",4886
"30","2015-06-24-10-30","US DOE Crude Oil Inventories",-4934,"-2000",-2934
"31","2015-06-17-10-30","US DOE Crude Oil Inventories",-2676,"-1800",-876
"32","2015-06-10-10-30","US DOE Crude Oil Inventories",-6812,"-1500",-5312
"33","2015-06-03-10-30","US DOE Crude Oil Inventories",-1948,"-2500",552
"34","2015-05-28-11-00","US DOE Crude Oil Inventories",-2802,"-2000",-802
"35","2015-05-20-10-30","US DOE Crude Oil Inventories",-2674,"-1750",-924
"36","2015-05-13-10-30","US DOE Crude Oil Inventories",-2191,"-250",-1941
"37","2015-05-06-10-30","US DOE Crude Oil Inventories",-3882,"1500",-5382
"38","2015-04-29-10-30","US DOE Crude Oil Inventories",1910,"3300",-1390
"39","2015-04-22-10-30","US DOE Crude Oil Inventories",5315,"3200",2115
"40","2015-04-15-10-30","US DOE Crude Oil Inventories",1294,"3600",-2306
"41","2015-04-08-10-30","US DOE Crude Oil Inventories",10949,"3250",7699
"42","2015-04-01-10-30","US DOE Crude Oil Inventories",4766,"4200",566
"43","2015-03-25-10-30","US DOE Crude Oil Inventories",8170,"4750",3420
"44","2015-03-18-10-30","US DOE Crude Oil Inventories",9622,"4400",5222
"45","2015-03-11-10-30","US DOE Crude Oil Inventories",4512,"4750",-238
"46","2015-03-04-10-30","US DOE Crude Oil Inventories",10303,"3950",6353
"47","2015-02-25-10-30","US DOE Crude Oil Inventories",8427,"4000",4427
"48","2015-02-19-11-00","US DOE Crude Oil Inventories",7716,"3000",4716
"49","2015-02-11-10-30","US DOE Crude Oil Inventories",4868,"3750",1118
"50","2015-02-04-10-30","US DOE Crude Oil Inventories",6333,"3250",3083
"51","2015-01-28-10-30","US DOE Crude Oil Inventories",8874,"3850",5024
"52","2015-01-22-11-00","US DOE Crude Oil Inventories",10071,"2700",7371
"53","2015-01-14-10-30","US DOE Crude Oil Inventories",5389,"1750",3639
"54","2015-01-07-10-30","US DOE Crude Oil Inventories",-3062,"700",-3762
"55","2014-12-31-10-30","US DOE Crude Oil Inventories",-1754,"900",-2654
"56","2014-12-24-10-30","US DOE Crude Oil Inventories",7267,"-2500",9767
"57","2014-12-17-10-30","US DOE Crude Oil Inventories",-847,"-2250",1403
"58","2014-12-10-10-30","US DOE Crude Oil Inventories",1454,"-2700",4154
"59","2014-12-03-10-30","US DOE Crude Oil Inventories",-3689,"1750",-5439
"60","2014-11-26-10-30","US DOE Crude Oil Inventories",1946,"250",1696
"61","2014-11-19-10-30","US DOE Crude Oil Inventories",2608,"-1500",4108
"62","2014-11-13-11-00","US DOE Crude Oil Inventories",-1735,"1050",-2785
"63","2014-11-05-10-30","US DOE Crude Oil Inventories",460,"2350",-1890
"64","2014-10-29-10-30","US DOE Crude Oil Inventories",2061,"3650",-1589
"65","2014-10-22-10-30","US DOE Crude Oil Inventories",7111,"3000",4111
"66","2014-10-16-11-00","US DOE Crude Oil Inventories",8923,"2450",6473
"67","2014-10-08-10-30","US DOE Crude Oil Inventories",5015,"2000",3015
"68","2014-10-01-10-30","US DOE Crude Oil Inventories",-1363,"1500",-2863
"69","2014-09-24-10-30","US DOE Crude Oil Inventories",-4273,"750",-5023
"70","2014-09-17-10-30","US DOE Crude Oil Inventories",3673,"-1500",5173
"71","2014-09-10-10-30","US DOE Crude Oil Inventories",-972,"-1500",528
"72","2014-09-04-11-00","US DOE Crude Oil Inventories",-905,"-1000",95
"73","2014-08-27-10-30","US DOE Crude Oil Inventories",-2070,"-2500",430
"74","2014-08-20-10-30","US DOE Crude Oil Inventories",-4474,"-1750",-2724
"75","2014-08-13-10-30","US DOE Crude Oil Inventories",1401,"-2050",3451
"76","2014-08-06-10-30","US DOE Crude Oil Inventories",-1756,"-1550",-206
"77","2014-07-30-10-30","US DOE Crude Oil Inventories",-3697,"-1250",-2447
"78","2014-07-23-10-30","US DOE Crude Oil Inventories",-3969,"-2900",-1069
"79","2014-07-16-10-30","US DOE Crude Oil Inventories",-7525,"-2750",-4775
"80","2014-07-09-10-30","US DOE Crude Oil Inventories",-2370,"-2500",130
"81","2014-07-02-10-30","US DOE Crude Oil Inventories",-3155,"-2400",-755
"82","2014-06-25-10-30","US DOE Crude Oil Inventories",1742,"-1700",3442
"83","2014-06-18-10-30","US DOE Crude Oil Inventories",-579,"-750",171
"84","2014-06-11-10-30","US DOE Crude Oil Inventories",-2596,"-2000",-596
"85","2014-06-04-10-30","US DOE Crude Oil Inventories",-3431,"-250",-3181
"86","2014-05-29-11-00","US DOE Crude Oil Inventories",1657,"500",1157
"87","2014-05-21-10-30","US DOE Crude Oil Inventories",-7226,"0",-7226
"88","2014-05-14-10-30","US DOE Crude Oil Inventories",947,"0",947
"89","2014-05-07-10-30","US DOE Crude Oil Inventories",-1781,"1250",-3031
"90","2014-04-30-10-30","US DOE Crude Oil Inventories",1698,"2200",-502
"91","2014-04-23-10-30","US DOE Crude Oil Inventories",3524,"3000",524
"92","2014-04-16-10-30","US DOE Crude Oil Inventories",10013,"1750",8263
"93","2014-04-09-10-30","US DOE Crude Oil Inventories",4030,"750",3280
"94","2014-04-02-10-30","US DOE Crude Oil Inventories",-2379,"2500",-4879
"95","2014-03-26-10-30","US DOE Crude Oil Inventories",6619,"2500",4119
"96","2014-03-19-10-30","US DOE Crude Oil Inventories",5850,"2750",3100
"97","2014-03-12-10-30","US DOE Crude Oil Inventories",6180,"2000",4180
"98","2014-03-05-10-30","US DOE Crude Oil Inventories",1429,"1300",129
"99","2014-02-26-10-30","US DOE Crude Oil Inventories",68,"1275",-1207
"100","2014-02-20-11-00","US DOE Crude Oil Inventories",973,"2250",-1277
"101","2014-02-12-10-30","US DOE Crude Oil Inventories",3267,"2600",667
"102","2014-02-05-10-30","US DOE Crude Oil Inventories",440,"2550",-2110
"103","2014-01-29-10-30","US DOE Crude Oil Inventories",6421,"2250",4171
"104","2014-01-23-11-00","US DOE Crude Oil Inventories",990,"1150",-160
"105","2014-01-15-10-30","US DOE Crude Oil Inventories",-7658,"-1300",-6358
"106","2014-01-08-10-30","US DOE Crude Oil Inventories",-2675,"-2750",75
"107","2014-01-03-11-00","US DOE Crude Oil Inventories",-7007,"-2825",-4182
"108","2013-12-27-11-00","US DOE Crude Oil Inventories",-4731,"-2650",-2081
"109","2013-12-18-10-30","US DOE Crude Oil Inventories",-2941,"-3500",559
"110","2013-12-11-10-30","US DOE Crude Oil Inventories",-10585,"-3000",-7585
"111","2013-12-04-10-30","US DOE Crude Oil Inventories",-5585,"-500",-5085
"112","2013-11-27-10-30","US DOE Crude Oil Inventories",2953,"750",2203
"113","2013-11-20-10-30","US DOE Crude Oil Inventories",375,"1000",-625
"114","2013-11-14-11-00","US DOE Crude Oil Inventories",2640,"800",1840
"115","2013-11-06-10-30","US DOE Crude Oil Inventories",1577,"2100",-523
"116","2013-10-30-10-30","US DOE Crude Oil Inventories",4087,"2400",1687
"117","2013-10-23-10-30","US DOE Crude Oil Inventories",5246,"3000",2246
"118","2013-10-21-10-30","US DOE Crude Oil Inventories",5246,"3000",2246
"119","2013-10-09-10-30","US DOE Crude Oil Inventories",6807,"1550",5257
"120","2013-10-02-10-30","US DOE Crude Oil Inventories",5472,"2500",2972
"121","2013-09-25-10-30","US DOE Crude Oil Inventories",2635,"-1000",3635
"122","2013-09-18-10-30","US DOE Crude Oil Inventories",-4368,"-1200",-3168
"123","2013-09-11-10-30","US DOE Crude Oil Inventories",-219,"-2100",1881
"124","2013-09-05-11-00","US DOE Crude Oil Inventories",-1836,"-2000",164
"125","2013-08-28-10-30","US DOE Crude Oil Inventories",2986,"750",2236
"126","2013-08-21-10-30","US DOE Crude Oil Inventories",-1428,"-1500",72
"127","2013-08-14-10-30","US DOE Crude Oil Inventories",-2812,"-1500",-1312
"128","2013-08-07-10-30","US DOE Crude Oil Inventories",-1320,"-1500",180
"129","2013-07-31-10-30","US DOE Crude Oil Inventories",431,"-2450",2881
"130","2013-07-24-10-30","US DOE Crude Oil Inventories",-2825,"-2800",-25
"131","2013-07-17-10-30","US DOE Crude Oil Inventories",-6902,"-2000",-4902
"132","2013-07-10-10-30","US DOE Crude Oil Inventories",-9874,"-3200",-6674
"133","2013-07-03-10-30","US DOE Crude Oil Inventories",-10347,"-2250",-8097
"134","2013-06-26-10-30","US DOE Crude Oil Inventories",18,"-1750",1768
"135","2013-06-19-10-30","US DOE Crude Oil Inventories",313,"-500",813
"136","2013-06-12-10-30","US DOE Crude Oil Inventories",2523,"-1500",4023
"137","2013-06-05-10-30","US DOE Crude Oil Inventories",-6267,"-800",-5467
"138","2013-05-30-11-00","US DOE Crude Oil Inventories",3000,"-500",3500
"139","2013-05-22-10-30","US DOE Crude Oil Inventories",-338,"-1000",662
"140","2013-05-15-10-30","US DOE Crude Oil Inventories",-624,"450",-1074
"141","2013-05-08-10-30","US DOE Crude Oil Inventories",230,"2000",-1770
"142","2013-05-01-10-30","US DOE Crude Oil Inventories",6696,"1100",5596
"143","2013-04-24-10-30","US DOE Crude Oil Inventories",947,"2000",-1053
"144","2013-04-17-10-30","US DOE Crude Oil Inventories",-1233,"1200",-2433
"145","2013-04-10-10-30","US DOE Crude Oil Inventories",250,"1500",-1250
"146","2013-04-03-10-30","US DOE Crude Oil Inventories",2707,"2050",657
"147","2013-03-27-10-30","US DOE Crude Oil Inventories",3256,"1325",1931
"148","2013-03-20-10-30","US DOE Crude Oil Inventories",-1314,"2000",-3314
"149","2013-03-13-10-30","US DOE Crude Oil Inventories",2624,"2300",324
"150","2013-03-06-10-30","US DOE Crude Oil Inventories",3833,"788",3045
"151","2013-02-27-10-30","US DOE Crude Oil Inventories",1130,"2500",-1370
"152","2013-02-21-11-00","US DOE Crude Oil Inventories",4143,"2000",2143
"153","2013-02-13-10-30","US DOE Crude Oil Inventories",560,"2200",-1640
"154","2013-02-06-10-30","US DOE Crude Oil Inventories",2623,"2650",-27
"155","2013-01-30-10-30","US DOE Crude Oil Inventories",5947,"2500",3447
"156","2013-01-24-11-00","US DOE Crude Oil Inventories",2813,"2150",663
"157","2013-01-16-10-30","US DOE Crude Oil Inventories",-951,"2200",-3151
"158","2013-01-09-10-30","US DOE Crude Oil Inventories",1314,"2000",-686
"159","2013-01-04-11-00","US DOE Crude Oil Inventories",-11120,"-1000",-10120
"160","2012-12-28-11-00","US DOE Crude Oil Inventories",-586,"-1750",1164
"161","2012-12-19-10-30","US DOE Crude Oil Inventories",-964,"-1750",786
"162","2012-12-12-10-30","US DOE Crude Oil Inventories",843,"-2500",3343
"163","2012-12-05-10-30","US DOE Crude Oil Inventories",-2357,"-500",-1857
"164","2012-11-28-10-30","US DOE Crude Oil Inventories",-347,"350",-697
"165","2012-11-21-10-30","US DOE Crude Oil Inventories",-1466,"1000",-2466
"166","2012-11-15-11-00","US DOE Crude Oil Inventories",1089,"2650",-1561
"167","2012-11-07-10-30","US DOE Crude Oil Inventories",1766,"2000",-234
"168","2012-11-01-11-00","US DOE Crude Oil Inventories",-2045,"1800",-3845
"169","2012-10-24-10-30","US DOE Crude Oil Inventories",5896,"1800",4096
"170","2012-10-17-10-30","US DOE Crude Oil Inventories",2860,"1500",1360
"171","2012-10-11-11-00","US DOE Crude Oil Inventories",1672,"1500",172
"172","2012-10-03-10-30","US DOE Crude Oil Inventories",-482,"1500",-1982
"173","2012-09-26-10-30","US DOE Crude Oil Inventories",-2446,"1900",-4346
"174","2012-09-19-10-30","US DOE Crude Oil Inventories",8534,"1000",7534
"175","2012-09-12-10-30","US DOE Crude Oil Inventories",1994,"-2900",4894
"176","2012-09-06-11-00","US DOE Crude Oil Inventories",-7426,"-4950",-2476
"177","2012-08-29-10-30","US DOE Crude Oil Inventories",3778,"-1750",5528
"178","2012-08-22-10-30","US DOE Crude Oil Inventories",-5412,"-250",-5162
"179","2012-08-15-10-30","US DOE Crude Oil Inventories",-3699,"-1500",-2199
"180","2012-08-08-10-30","US DOE Crude Oil Inventories",-3729,"-1550",-2179
