"","date","which.news","actual","forcast","difference"
"1","2016-01-13-10-30","US DOE Distillate Inventories",6136,"1550",4586
"2","2016-01-06-10-30","US DOE Distillate Inventories",6308,"2000",4308
"3","2015-12-30-10-30","US DOE Distillate Inventories",1795,"500",1295
"4","2015-12-23-10-30","US DOE Distillate Inventories",-661,"2000",-2661
"5","2015-12-16-10-30","US DOE Distillate Inventories",2563,"2000",563
"6","2015-12-09-10-30","US DOE Distillate Inventories",4998,"2250",2748
"7","2015-12-02-10-30","US DOE Distillate Inventories",3051,"500",2551
"8","2015-11-25-10-30","US DOE Distillate Inventories",1046,"-750",1796
"9","2015-11-18-10-30","US DOE Distillate Inventories",-791,"-500",-291
"10","2015-11-12-11-00","US DOE Distillate Inventories",352,"-1000",1352
"11","2015-11-04-10-30","US DOE Distillate Inventories",-1300,"-2000",700
"12","2015-10-28-10-30","US DOE Distillate Inventories",-2951,"-1750",-1201
"13","2015-10-21-10-30","US DOE Distillate Inventories",-2622,"-1100",-1522
"14","2015-10-15-11-00","US DOE Distillate Inventories",-1520,"-700",-820
"15","2015-10-07-10-30","US DOE Distillate Inventories",-2458,"-300",-2158
"16","2015-09-30-10-30","US DOE Distillate Inventories",-267,"-800",533
"17","2015-09-23-10-30","US DOE Distillate Inventories",-2088,"950",-3038
"18","2015-09-16-10-30","US DOE Distillate Inventories",3060,"300",2760
"19","2015-09-10-11-00","US DOE Distillate Inventories",952,"900",52
"20","2015-09-02-10-30","US DOE Distillate Inventories",115,"1000",-885
"21","2015-08-26-10-30","US DOE Distillate Inventories",1436,"1020",416
"22","2015-08-19-10-30","US DOE Distillate Inventories",594,"1500",-906
"23","2015-08-12-10-30","US DOE Distillate Inventories",2994,"1050",1944
"24","2015-08-05-10-30","US DOE Distillate Inventories",709,"1750",-1041
"25","2015-07-29-10-30","US DOE Distillate Inventories",2588,"1450",1138
"26","2015-07-22-10-30","US DOE Distillate Inventories",235,"1800",-1565
"27","2015-07-15-10-30","US DOE Distillate Inventories",3819,"1460",2359
"28","2015-07-08-10-30","US DOE Distillate Inventories",1641,"1000",641
"29","2015-07-01-10-30","US DOE Distillate Inventories",392,"1500",-1108
"30","2015-06-24-10-30","US DOE Distillate Inventories",1837,"700",1137
"31","2015-06-17-10-30","US DOE Distillate Inventories",114,"950",-836
"32","2015-06-10-10-30","US DOE Distillate Inventories",865,"700",165
"33","2015-06-03-10-30","US DOE Distillate Inventories",3773,"1300",2473
"34","2015-05-28-11-00","US DOE Distillate Inventories",1115,"-400",1515
"35","2015-05-20-10-30","US DOE Distillate Inventories",-546,"400",-946
"36","2015-05-13-10-30","US DOE Distillate Inventories",-2503,"750",-3253
"37","2015-05-06-10-30","US DOE Distillate Inventories",1503,"0",1503
"38","2015-04-29-10-30","US DOE Distillate Inventories",-66,"1000",-1066
"39","2015-04-22-10-30","US DOE Distillate Inventories",395,"1100",-705
"40","2015-04-15-10-30","US DOE Distillate Inventories",2017,"700",1317
"41","2015-04-08-10-30","US DOE Distillate Inventories",-250,"850",-1100
"42","2015-04-01-10-30","US DOE Distillate Inventories",1325,"0",1325
"43","2015-03-25-10-30","US DOE Distillate Inventories",-34,"-1000",966
"44","2015-03-18-10-30","US DOE Distillate Inventories",380,"-1500",1880
"45","2015-03-11-10-30","US DOE Distillate Inventories",2527,"-2250",4777
"46","2015-03-04-10-30","US DOE Distillate Inventories",-1722,"-2500",778
"47","2015-02-25-10-30","US DOE Distillate Inventories",-2711,"-3500",789
"48","2015-02-19-11-00","US DOE Distillate Inventories",-3814,"-2000",-1814
"49","2015-02-11-10-30","US DOE Distillate Inventories",-3252,"-1250",-2002
"50","2015-02-04-10-30","US DOE Distillate Inventories",1788,"-1500",3288
"51","2015-01-28-10-30","US DOE Distillate Inventories",-3892,"-1500",-2392
"52","2015-01-22-11-00","US DOE Distillate Inventories",-3272,"500",-3772
"53","2015-01-14-10-30","US DOE Distillate Inventories",2925,"2100",825
"54","2015-01-07-10-30","US DOE Distillate Inventories",11205,"1750",9455
"55","2014-12-31-10-30","US DOE Distillate Inventories",1874,"2000",-126
"56","2014-12-24-10-30","US DOE Distillate Inventories",2303,"-1000",3303
"57","2014-12-17-10-30","US DOE Distillate Inventories",-207,"150",-357
"58","2014-12-10-10-30","US DOE Distillate Inventories",5577,"1550",4027
"59","2014-12-03-10-30","US DOE Distillate Inventories",3028,"550",2478
"60","2014-11-26-10-30","US DOE Distillate Inventories",-1648,"-900",-748
"61","2014-11-19-10-30","US DOE Distillate Inventories",-2056,"-2000",-56
"62","2014-11-13-11-00","US DOE Distillate Inventories",-2803,"-1500",-1303
"63","2014-11-05-10-30","US DOE Distillate Inventories",-724,"-2200",1476
"64","2014-10-29-10-30","US DOE Distillate Inventories",-5294,"-1400",-3894
"65","2014-10-22-10-30","US DOE Distillate Inventories",1049,"-1300",2349
"66","2014-10-16-11-00","US DOE Distillate Inventories",-1518,"-1800",282
"67","2014-10-08-10-30","US DOE Distillate Inventories",439,"-1250",1689
"68","2014-10-01-10-30","US DOE Distillate Inventories",-2894,"0",-2894
"69","2014-09-24-10-30","US DOE Distillate Inventories",823,"500",323
"70","2014-09-17-10-30","US DOE Distillate Inventories",279,"750",-471
"71","2014-09-10-10-30","US DOE Distillate Inventories",4093,"1000",3093
"72","2014-09-04-11-00","US DOE Distillate Inventories",605,"-1000",1605
"73","2014-08-27-10-30","US DOE Distillate Inventories",1252,"0",1252
"74","2014-08-20-10-30","US DOE Distillate Inventories",-960,"-300",-660
"75","2014-08-13-10-30","US DOE Distillate Inventories",-2421,"-50",-2371
"76","2014-08-06-10-30","US DOE Distillate Inventories",-1798,"850",-2648
"77","2014-07-30-10-30","US DOE Distillate Inventories",789,"1500",-711
"78","2014-07-23-10-30","US DOE Distillate Inventories",1636,"2000",-364
"79","2014-07-16-10-30","US DOE Distillate Inventories",2528,"2000",528
"80","2014-07-09-10-30","US DOE Distillate Inventories",227,"1400",-1173
"81","2014-07-02-10-30","US DOE Distillate Inventories",975,"950",25
"82","2014-06-25-10-30","US DOE Distillate Inventories",1177,"850",327
"83","2014-06-18-10-30","US DOE Distillate Inventories",436,"350",86
"84","2014-06-11-10-30","US DOE Distillate Inventories",860,"1000",-140
"85","2014-06-04-10-30","US DOE Distillate Inventories",2012,"900",1112
"86","2014-05-29-11-00","US DOE Distillate Inventories",-196,"500",-696
"87","2014-05-21-10-30","US DOE Distillate Inventories",3399,"-500",3899
"88","2014-05-14-10-30","US DOE Distillate Inventories",-1124,"500",-1624
"89","2014-05-07-10-30","US DOE Distillate Inventories",-447,"750",-1197
"90","2014-04-30-10-30","US DOE Distillate Inventories",1936,"500",1436
"91","2014-04-23-10-30","US DOE Distillate Inventories",597,"-300",897
"92","2014-04-16-10-30","US DOE Distillate Inventories",-1278,"0",-1278
"93","2014-04-09-10-30","US DOE Distillate Inventories",239,"-250",489
"94","2014-04-02-10-30","US DOE Distillate Inventories",554,"0",554
"95","2014-03-26-10-30","US DOE Distillate Inventories",1555,"-1380",2935
"96","2014-03-19-10-30","US DOE Distillate Inventories",-3097,"-800",-2297
