"","date","which.news","actual","forcast","difference"
"1","2016-01-13-10-30","US DOE Gasoline Inventories",8438,"2700",5738
"2","2016-01-06-10-30","US DOE Gasoline Inventories",10576,"1800",8776
"3","2015-12-30-10-30","US DOE Gasoline Inventories",925,"500",425
"4","2015-12-23-10-30","US DOE Gasoline Inventories",1111,"1300",-189
"5","2015-12-16-10-30","US DOE Gasoline Inventories",1731,"1000",731
"6","2015-12-09-10-30","US DOE Gasoline Inventories",786,"1750",-964
"7","2015-12-02-10-30","US DOE Gasoline Inventories",135,"1550",-1415
"8","2015-11-25-10-30","US DOE Gasoline Inventories",2478,"950",1528
"9","2015-11-18-10-30","US DOE Gasoline Inventories",1009,"-500",1509
"10","2015-11-12-11-00","US DOE Gasoline Inventories",-2102,"-1000",-1102
"11","2015-11-04-10-30","US DOE Gasoline Inventories",-3300,"-1250",-2050
"12","2015-10-28-10-30","US DOE Gasoline Inventories",-1137,"-1050",-87
"13","2015-10-21-10-30","US DOE Gasoline Inventories",-1518,"-1000",-518
"14","2015-10-15-11-00","US DOE Gasoline Inventories",-2618,"-1250",-1368
"15","2015-10-07-10-30","US DOE Gasoline Inventories",1910,"250",1660
"16","2015-09-30-10-30","US DOE Gasoline Inventories",3254,"-500",3754
"17","2015-09-23-10-30","US DOE Gasoline Inventories",1369,"850",519
"18","2015-09-16-10-30","US DOE Gasoline Inventories",2840,"-500",3340
"19","2015-09-10-11-00","US DOE Gasoline Inventories",384,"-150",534
"20","2015-09-02-10-30","US DOE Gasoline Inventories",-271,"-2000",1729
"21","2015-08-26-10-30","US DOE Gasoline Inventories",1660,"-950",2610
"22","2015-08-19-10-30","US DOE Gasoline Inventories",-2708,"-1250",-1458
"23","2015-08-12-10-30","US DOE Gasoline Inventories",-1251,"-675",-576
"24","2015-08-05-10-30","US DOE Gasoline Inventories",811,"-200",1011
"25","2015-07-29-10-30","US DOE Gasoline Inventories",-363,"250",-613
"26","2015-07-22-10-30","US DOE Gasoline Inventories",-1725,"300",-2025
"27","2015-07-15-10-30","US DOE Gasoline Inventories",58,"450",-392
"28","2015-07-08-10-30","US DOE Gasoline Inventories",1215,"0",1215
"29","2015-07-01-10-30","US DOE Gasoline Inventories",-1757,"-250",-1507
"30","2015-06-24-10-30","US DOE Gasoline Inventories",680,"0",680
"31","2015-06-17-10-30","US DOE Gasoline Inventories",460,"-800",1260
"32","2015-06-10-10-30","US DOE Gasoline Inventories",-2939,"-400",-2539
"33","2015-06-03-10-30","US DOE Gasoline Inventories",-334,"500",-834
"34","2015-05-28-11-00","US DOE Gasoline Inventories",-3309,"-1300",-2009
"35","2015-05-20-10-30","US DOE Gasoline Inventories",-2774,"650",-3424
"36","2015-05-13-10-30","US DOE Gasoline Inventories",-1142,"250",-1392
"37","2015-05-06-10-30","US DOE Gasoline Inventories",401,"1000",-599
"38","2015-04-29-10-30","US DOE Gasoline Inventories",1713,"900",813
"39","2015-04-22-10-30","US DOE Gasoline Inventories",-2135,"-1000",-1135
"40","2015-04-15-10-30","US DOE Gasoline Inventories",-2072,"-750",-1322
"41","2015-04-08-10-30","US DOE Gasoline Inventories",817,"-2000",2817
"42","2015-04-01-10-30","US DOE Gasoline Inventories",-4258,"-650",-3608
"43","2015-03-25-10-30","US DOE Gasoline Inventories",-2014,"-2300",286
"44","2015-03-18-10-30","US DOE Gasoline Inventories",-4473,"-900",-3573
"45","2015-03-11-10-30","US DOE Gasoline Inventories",-187,"-1750",1563
"46","2015-03-04-10-30","US DOE Gasoline Inventories",46,"-2000",2046
"47","2015-02-25-10-30","US DOE Gasoline Inventories",-3118,"-2000",-1118
