"","date","which.news","actual","forcast","difference"
"1","2016-01-13-10-30","US DOE Refinery Utilization",-1.3,"-0.95",-0.35
"2","2016-01-06-10-30","US DOE Refinery Utilization",-0.1,"-0.33",0.23
"3","2015-12-30-10-30","US DOE Refinery Utilization",1.3,"0.25",1.05
"4","2015-12-23-10-30","US DOE Refinery Utilization",-0.6,"0.3",-0.9
"5","2015-12-16-10-30","US DOE Refinery Utilization",-1.2,"0.8",-2
"6","2015-12-09-10-30","US DOE Refinery Utilization",-1.4,"0.5",-1.9
"7","2015-12-02-10-30","US DOE Refinery Utilization",2.5,"0.5",2
"8","2015-11-25-10-30","US DOE Refinery Utilization",1.7,"0.4",1.3
"9","2015-11-18-10-30","US DOE Refinery Utilization",0.8,"0.5",0.3
"10","2015-11-12-11-00","US DOE Refinery Utilization",0.8,"0.5",0.3
"11","2015-11-04-10-30","US DOE Refinery Utilization",1.1,"0.3",0.8
"12","2015-10-28-10-30","US DOE Refinery Utilization",1.2,"0",1.2
"13","2015-10-21-10-30","US DOE Refinery Utilization",0.4,"-0.5",0.9
"14","2015-10-15-11-00","US DOE Refinery Utilization",-1.5,"-0.58",-0.92
"15","2015-10-07-10-30","US DOE Refinery Utilization",-2.3,"-0.5",-1.8
"16","2015-09-30-10-30","US DOE Refinery Utilization",-1.1,"-0.45",-0.65
"17","2015-09-23-10-30","US DOE Refinery Utilization",-2.2,"-0.5",-1.7
"18","2015-09-16-10-30","US DOE Refinery Utilization",2.2,"-0.55",2.75
"19","2015-09-10-11-00","US DOE Refinery Utilization",-1.9,"-0.5",-1.4
"20","2015-09-02-10-30","US DOE Refinery Utilization",-1.7,"-0.5",-1.2
"21","2015-08-26-10-30","US DOE Refinery Utilization",-0.6,"-0.5",-0.1
"22","2015-08-19-10-30","US DOE Refinery Utilization",-1,"-0.5",-0.5
"23","2015-08-12-10-30","US DOE Refinery Utilization",0,"-0.5",0.5
"24","2015-08-05-10-30","US DOE Refinery Utilization",1,"-0.1",1.1
"25","2015-07-29-10-30","US DOE Refinery Utilization",-0.4,"-0.1",-0.3
"26","2015-07-22-10-30","US DOE Refinery Utilization",0.2,"0",0.2
"27","2015-07-15-10-30","US DOE Refinery Utilization",0.6,"0.1",0.5
"28","2015-07-08-10-30","US DOE Refinery Utilization",-0.3,"0.2",-0.5
"29","2015-07-01-10-30","US DOE Refinery Utilization",1,"0.38",0.62
"30","2015-06-24-10-30","US DOE Refinery Utilization",0.9,"0.45",0.45
"31","2015-06-17-10-30","US DOE Refinery Utilization",-1.5,"0.5",-2
"32","2015-06-10-10-30","US DOE Refinery Utilization",1.4,"0.1",1.3
"33","2015-06-03-10-30","US DOE Refinery Utilization",-0.4,"0.6",-1
"34","2015-05-28-11-00","US DOE Refinery Utilization",1.2,"0.3",0.9
