				Act.	F'cast	Prior	Rev.	
Thu, Nov 12, 2015	17:00	US	US DOE Crude Oil Inventories	4224	1300	2847		Chart
Thu, Nov 12, 2015	17:00	US	US DOE Distillate Inventories	352	-1000	-1300		Chart
Thu, Nov 12, 2015	17:00	US	US DOE Gasoline Inventories	-2102	-1000	-3300		Chart
Thu, Nov 12, 2015	17:00	US	US DOE Refinery Utilization	0.8	0.5	1.1		Chart
Wed, Nov 04, 2015	16:30	US	US DOE Crude Oil Inventories	2847	2500	3376		Chart
Wed, Nov 04, 2015	16:30	US	US DOE Distillate Inventories	-1300	-2000	-2951		Chart
Wed, Nov 04, 2015	16:30	US	US DOE Gasoline Inventories	-3300	-1250	-1137		Chart
Wed, Nov 04, 2015	16:30	US	US DOE Refinery Utilization	1.1	0.3	1.2		Chart
Wed, Oct 28, 2015	15:30	US	US DOE Crude Oil Inventories	3376	3750	8028		Chart
Wed, Oct 28, 2015	15:30	US	US DOE Distillate Inventories	-2951	-1750	-2622		Chart
Wed, Oct 28, 2015	15:30	US	US DOE Gasoline Inventories	-1137	-1050	-1518		Chart
Wed, Oct 28, 2015	15:30	US	US DOE Refinery Utilization	1.2	0	0.4		Chart
Wed, Oct 21, 2015	16:30	US	US DOE Crude Oil Inventories	8028	3750	7562		Chart
Wed, Oct 21, 2015	16:30	US	US DOE Distillate Inventories	-2622	-1100	-1520		Chart
Wed, Oct 21, 2015	16:30	US	US DOE Gasoline Inventories	-1518	-1000	-2618		Chart
Wed, Oct 21, 2015	16:30	US	US DOE Refinery Utilization	0.4	-0.5	-1.5		Chart
Thu, Oct 15, 2015	17:00	US	US DOE Crude Oil Inventories	7562	2577	3073		Chart
Thu, Oct 15, 2015	17:00	US	US DOE Distillate Inventories	-1520	-700	-2458		Chart
Thu, Oct 15, 2015	17:00	US	US DOE Gasoline Inventories	-2618	-1250	1910		Chart
Thu, Oct 15, 2015	17:00	US	US DOE Refinery Utilization	-1.5	-0.58	-2.3		Chart
Wed, Oct 07, 2015	16:30	US	US DOE Crude Oil Inventories	3073	2250	3955		Chart
Wed, Oct 07, 2015	16:30	US	US DOE Distillate Inventories	-2458	-300	-267		Chart
Wed, Oct 07, 2015	16:30	US	US DOE Gasoline Inventories	1910	250	3254		Chart
Wed, Oct 07, 2015	16:30	US	US DOE Refinery Utilization	-2.3	-0.5	-1.1		Chart
Wed, Sep 30, 2015	16:30	US	US DOE Crude Oil Inventories	3955	0	-1925		Chart
Wed, Sep 30, 2015	16:30	US	US DOE Distillate Inventories	-267	-800	-2088		Chart
Wed, Sep 30, 2015	16:30	US	US DOE Gasoline Inventories	3254	-500	1369		Chart
Wed, Sep 30, 2015	16:30	US	US DOE Refinery Utilization	-1.1	-0.45	-2.2		Chart
Wed, Sep 23, 2015	16:30	US	US DOE Crude Oil Inventories	-1925	-1250	-2104		Chart
Wed, Sep 23, 2015	16:30	US	US DOE Distillate Inventories	-2088	950	3060		Chart
Wed, Sep 23, 2015	16:30	US	US DOE Gasoline Inventories	1369	850	2840		Chart
Wed, Sep 23, 2015	16:30	US	US DOE Refinery Utilization	-2.2	-0.5	2.2		Chart
Wed, Sep 16, 2015	16:30	US	US DOE Crude Oil Inventories	-2104	2000	2570		Chart
Wed, Sep 16, 2015	16:30	US	US DOE Distillate Inventories	3060	300	952		Chart
Wed, Sep 16, 2015	16:30	US	US DOE Gasoline Inventories	2840	-500	384		Chart
Wed, Sep 16, 2015	16:30	US	US DOE Refinery Utilization	2.2	-0.55	-1.9		Chart
Thu, Sep 10, 2015	17:00	US	US DOE Crude Oil Inventories	2570	900	4667		Chart
Thu, Sep 10, 2015	17:00	US	US DOE Distillate Inventories	952	900	115		Chart
Thu, Sep 10, 2015	17:00	US	US DOE Gasoline Inventories	384	-150	-271		Chart
Thu, Sep 10, 2015	17:00	US	US DOE Refinery Utilization	-1.9	-0.5	-1.7		Chart
Wed, Sep 02, 2015	16:30	US	US DOE Crude Oil Inventories	4667	900	-5452		Chart
Wed, Sep 02, 2015	16:30	US	US DOE Distillate Inventories	115	1000	1436		Chart
Wed, Sep 02, 2015	16:30	US	US DOE Gasoline Inventories	-271	-2000	1660		Chart
Wed, Sep 02, 2015	16:30	US	US DOE Refinery Utilization	-1.7	-0.5	-0.6		Chart
Wed, Aug 26, 2015	16:30	US	US DOE Crude Oil Inventories	-5452	1450	2620		Chart
Wed, Aug 26, 2015	16:30	US	US DOE Distillate Inventories	1436	1020	594		Chart
Wed, Aug 26, 2015	16:30	US	US DOE Gasoline Inventories	1660	-950	-2708		Chart
Wed, Aug 26, 2015	16:30	US	US DOE Refinery Utilization	-0.6	-0.5	-1		Chart
Wed, Aug 19, 2015	16:30	US	US DOE Crude Oil Inventories	2620	-820	-1682		Chart
